Steps: 10 Loss: 0.00000| DTW: 139.138| LR: 0.001000 *
Steps: 20 Loss: 0.00000| DTW: 139.138| LR: 0.001000 
Steps: 30 Loss: 0.00000| DTW: 139.138| LR: 0.001000 
Steps: 40 Loss: 0.00000| DTW: 139.138| LR: 0.001000 
Steps: 50 Loss: 0.00000| DTW: 139.138| LR: 0.001000 
Steps: 70 Loss: 0.03798| DTW: 36.593| LR: 0.001000 *
Steps: 80 Loss: 0.02382| DTW: 21.362| LR: 0.001000 *
Steps: 90 Loss: 0.01419| DTW: 16.007| LR: 0.001000 *
Steps: 100 Loss: 0.01025| DTW: 13.487| LR: 0.001000 *
Steps: 110 Loss: 0.00926| DTW: 12.717| LR: 0.001000 *
Steps: 120 Loss: 0.00884| DTW: 12.473| LR: 0.001000 *
Steps: 130 Loss: 0.00878| DTW: 12.357| LR: 0.001000 *
Steps: 140 Loss: 0.00874| DTW: 12.306| LR: 0.001000 *
Steps: 150 Loss: 0.00870| DTW: 12.294| LR: 0.001000 *
Steps: 160 Loss: 0.00865| DTW: 12.217| LR: 0.001000 *
Steps: 170 Loss: 0.00865| DTW: 12.246| LR: 0.001000 
Steps: 180 Loss: 0.00861| DTW: 12.229| LR: 0.001000 
Steps: 190 Loss: 0.00858| DTW: 12.240| LR: 0.001000 
Steps: 200 Loss: 0.00854| DTW: 12.145| LR: 0.001000 *
Steps: 210 Loss: 0.00852| DTW: 12.135| LR: 0.001000 *
Steps: 220 Loss: 0.00850| DTW: 17.107| LR: 0.001000 
Steps: 230 Loss: 0.00847| DTW: 17.132| LR: 0.001000 
Steps: 240 Loss: 0.00845| DTW: 17.161| LR: 0.001000 
Steps: 250 Loss: 0.00843| DTW: 17.191| LR: 0.001000 
Steps: 260 Loss: 0.00836| DTW: 17.214| LR: 0.001000 
Steps: 270 Loss: 0.00837| DTW: 17.243| LR: 0.001000 
Steps: 280 Loss: 0.00832| DTW: 17.260| LR: 0.001000 
Steps: 290 Loss: 0.00831| DTW: 17.368| LR: 0.001000 
Steps: 300 Loss: 0.00827| DTW: 17.356| LR: 0.000700 
Steps: 310 Loss: 0.00824| DTW: 17.380| LR: 0.000700 
Steps: 320 Loss: 0.00821| DTW: 20.399| LR: 0.000700 
Steps: 330 Loss: 0.00818| DTW: 20.457| LR: 0.000700 
Steps: 340 Loss: 0.00815| DTW: 20.512| LR: 0.000700 
Steps: 350 Loss: 0.00815| DTW: 20.587| LR: 0.000700 
Steps: 360 Loss: 0.00811| DTW: 20.565| LR: 0.000700 
Steps: 370 Loss: 0.00808| DTW: 20.744| LR: 0.000700 
Steps: 380 Loss: 0.00802| DTW: 20.892| LR: 0.000490 
Steps: 390 Loss: 0.00800| DTW: 20.978| LR: 0.000490 
Steps: 400 Loss: 0.00798| DTW: 21.095| LR: 0.000490 
Steps: 410 Loss: 0.00797| DTW: 21.234| LR: 0.000490 
Steps: 420 Loss: 0.00793| DTW: 21.326| LR: 0.000490 
Steps: 430 Loss: 0.00791| DTW: 21.407| LR: 0.000490 
Steps: 440 Loss: 0.00786| DTW: 21.325| LR: 0.000490 
Steps: 450 Loss: 0.00784| DTW: 21.578| LR: 0.000490 
Steps: 460 Loss: 0.00780| DTW: 21.744| LR: 0.000343 
Steps: 470 Loss: 0.00780| DTW: 21.754| LR: 0.000343 
Steps: 480 Loss: 0.00777| DTW: 21.652| LR: 0.000343 
Steps: 490 Loss: 0.00775| DTW: 21.797| LR: 0.000343 
Steps: 500 Loss: 0.00773| DTW: 21.587| LR: 0.000343 
Steps: 510 Loss: 0.00770| DTW: 21.528| LR: 0.000343 
Steps: 520 Loss: 0.00768| DTW: 21.609| LR: 0.000343 
Steps: 530 Loss: 0.00766| DTW: 21.672| LR: 0.000343 
Steps: 540 Loss: 0.00763| DTW: 21.700| LR: 0.000343 
Steps: 550 Loss: 0.00762| DTW: 21.771| LR: 0.000240 
Steps: 560 Loss: 0.00761| DTW: 22.230| LR: 0.000240 
Steps: 570 Loss: 0.00759| DTW: 22.232| LR: 0.000240 
Steps: 580 Loss: 0.00757| DTW: 22.231| LR: 0.000240 
Steps: 590 Loss: 0.00756| DTW: 22.237| LR: 0.000240 
Steps: 600 Loss: 0.00754| DTW: 22.212| LR: 0.000240 
Steps: 610 Loss: 0.00753| DTW: 22.176| LR: 0.000240 
Steps: 620 Loss: 0.00751| DTW: 22.222| LR: 0.000240 
Steps: 630 Loss: 0.00750| DTW: 22.241| LR: 0.000168 
